label,sentence
0,Every essay she's written and which I've read is on that pile.
1,Mary talked to any student who was angry.
1,Constantly reading Shakespeare satisfied me
1,The umpire fell off it.
1,Fred is thinking about whether he should stay in Seoul.
1,Everyone who had been worrying himself stiff said that he was relieved.
1,There are seven holes in the door and window.
1,At most three boys didn't see anything.
0,We spotted them run.
1,The foxes seem compatible with the chickens.
0,He is looked generally on as selfish.
0,"We gave any senator enough opportunity and, sure enough, he succumbed to corruption."
1,The phone company billed me $10.
1,The model resembles Kim in nearly every detail.
1,John asked if his essay would be published in the paper.
1,It never occurred to Harvey that I might want to leave because he is insensitive to other people's desires.
1,Aphrodite did free animals
1,They dismissed the proposal as too costly.
1,The visas are with the passports.
0,I detest him taking a bath.
1,Mary was visited by Bill.
1,I saw the student.
1,She was kissed.
1,Was the piano bought for Jane by Frank?
1,Fred kicked the ball under the porch.
0,Left Tom the party already?
0,Peter is the old pigs.
1,Much of that theory is unfounded.
0,The fish scrubbed.
0,I sent to you recipes.
1,They read the book.
0,Lee wants to meet who Kim hired.
1,Tom locked Fido in the garage.
0,"Sally explained the attempt to arrest Holly, but only after I had denied the decision to."
0,I ran a man who was old down.
1,John runs into the house.
0,I've kicked more of a man than you have.
1,Wendy's mother country is Iceland.
1,He walked up the hill.
1,The president declared Smith press secretary.
1,"Max offered help to the victims, but they refused his offer."
1,Frank bought a piano for Jane.
1,I promised that tomorrow he would be there.
1,Myron is making the claim that dead is better than red.
1,I gave the book to Harvey because he asked me to.
1,"While Truman didn't tell me a story, he did Rusty."
0,Monica moved at the cat.
1,He will can go
1,Celia braided her hair.
1,The bear sniffs
0,"Mary was told to bring something to the party, so she asked Sue what to."
1,"John gave the books to Mary at Christmas, and the records to Sue for her birthday."
1,Jason persuaded Medea to desert her family
0,Stephen persuaded the cat to be out of the bag.
1,Anson very happily demonized David.
1,I stalked the woods for game.
0,What Jason asked whether was the potion was ready
1,"If John wants to succeed in corporate life, he has to know the rules of the game."
1,Chris must liking syntax.
0,"Near everyone Angleton did, Dulles stood."
1,John gave a book to the student.
1,"The candidate was dogged by charges of infidelity and avoiding the draft, or at least trying to."
1,We talked about Mr. Colson and that he had worked at the.
0,"Although Bob may not be a nut, many people have claimed and I think so too."
1,We proclaimed John to the public to be a hero.
1,Did the fact that John showed up please you?
1,I had hoped that it was true that Rosa Luxemburg had actually defected to Iceland for many years.
0,"It is important for the more you eat, the more careful to be."
1,Carol carved the marble.
1,"That you must go to the station, Mary should know that you must go to the station."
0,I dislike his tickling myself.
1,John deposited some money in the bank on Friday.
0,A medal was been given to the mayor by the sewer commissioner.
1,It really freaks me out that we invaded Iraq.
0,I assumed to be innocent
1,John heard their criticism of themselves.
0,Catherine feared that was the Abbey haunted.
1,John kissed even the ugliest woman.
1,Jean wants herself to dance.
1,"Whenever Bill smokes, Susan hates him a lot more."
1,$50 won't even purchase a dress at Bloomingdale's.
1,Why did John leave?
1,Clinton supported the health care bill.
0,it is the tall man coming from England that Mary saw the tall man coming from England.
1,John asked if the unflattering description of his work would be published in the paper.
1,I want all the students who have ever tried to pat Fido to show me their scars.
1,"Because she's so pleasant, Mary I really like."
1,Anson became happy
0,Sally eats more the stuff.
1,The bed was unmade.
1,Susan ate yesterday at the restaurant.
1,"John talked to his supervisor about his thesis, and Erich to the dean about department politics."
1,He is filled with sincerity.
1,To finish this work on time is almost unexpected.
1,The President thanked every soldier who had fought in the.
1,I heard that Mary hired someone.
0,They tried all to like John.
0,Mary runs often the marathon.
1,Wanda taught the students French.
1,Gilgamesh arrived
1,Sam may have been being interrogated by the FBI.
1,Mira blamed Terry for the accident.
0,The committee haven't yet made up its mind.
1,I ate a basket of apples.
1,You will put a picture of Bill on your desk before tomorrow.
1,The convict escaped the police.
0,Squirrels pelt easily with acorns.
1,The officer carefully inspected the license.
1,We persuaded them to examine themselves.
1,Stephen believed the cat to be out of the bag.
1,I asked where you found it.
1,How do you think that Mary solved the problem?
0,I stalked for game in the woods.
1,John couldn't leave the party.
0,A bicycle lent.
1,"The police read the detainees' rights to them, but not a single one was paying attention."
0,The evidence that John found was more helpful than the one that Smith found.
1,That dog bites people.
1,They would inform Mary of any success they have made.
1,The accountant was sitting at her desk.
0,John that we are looking for showed up.
1,I shaped the dough.
1,"It's obvious that, although he's a nice guy, John isn't too bright."
1,Carmen obtained the spare part.
1,The cake was eaten.
0,a pencil with that to write broke.
0,They have no and.
1,In the aquarium swam a striped fish.
1,Every vampire slept.
1,She laughed from embarrassment.
1,We ate at a really fancy restaurant.
1,A big green insect flew into the soup.
1,It occurred to Pat that Chris knew the answer.
1,John put any carrot from his garden in the salad.
0,Oliver ascribed his longevity there.
1,Mickey pointed out that Gary had left.
0,I've known more of a man than Frank.
1,"Medea, Jason poisoned."
0,Jason whispered the phoenix had escaped
1,Which piano is this sonata easy to play on?
1,John made a fool of himself in front of anyone who was there.
1,That evening John laughed with anybody he talked to.
1,No one expected him to to win.
1,Day by day the facts are getting murkier.
1,The DA proved Jones guilty and the Assistant DA will prove Smith.
0,Jason arrived by Medea.
0,Kim to beat his dog and alienated cats.
1,I have been flying helicopters for years.
0,The horse groomed itself.
0,"We'll go together, us."
1,John talked to any woman who came up to him.
1,What are you studying nowadays?
1,I don't know whether to agree with him or not.
0,Amanda drove at the package to New York.
1,Calvin will not eat the beef waffles.
1,What I said was that we would go.
1,It is likely that John will leave.
1,The committee hasn't yet made up its mind.
1,"This boy must not go to France, but his father must go to France."
0,Paul has interviewed any student who was at the scene of the crime and Kate has interviewed them too.
0,New York was slept in.
1,Calvin did not do a back flip.
0,She tried to left
1,Rory had eaten the muffins.
1,Carla mopped under the furniture.
1,Monkeys are eager to leave.
0,Cat ate the spider.
1,I wonder who it was who saw you.
1,Hardly any of the citizens ever say anything.
0,Cheryl stood the books from Edna to Sarah.
0,That you have done it really well is what I meant.
1,The time elapsed slowly.
1,Bill believes that Anna and he are similar.
1,Bill believes Anna and him to be similar.
1,Harry got to be as much of a celebrity as his father.
1,What Mary did with Bill was sing a song.
1,They sat on Mary.
1,"Mickey and Roger have signed, and Whitey will tomorrow."
1,The writers did so believe the boy.
0,I lent the book all the way to Tony.
1,is taller than that man.
0,"The more that pictures of himself appear in the news, the more likely John is to get arrested."
1,That I should kiss pigs is my fondest dream
0,Marlene dressed her body.
1,I shaped the dough into a loaf.
1,"They said that Tom was working, and working he is."
1,My mother baked a cake for me.
1,The builders made the wall with concrete blocks.
1,A gun which I had cleaned went off.
1,Are you going on holiday before or after Easter? I prefer after Easter.
1,More than two students attended every seminar.
1,only the student left.
1,Pat is healthy and of sound mind.
1,His girlfriend bought this computer for him.
0,The book brought to the meeting.
1,Rory eats muffins.
1,Mary desired to go abroad.
1,I asked who she kissed.
0,Tessa cut.
1,Students wanted to write a letter.
1,What did you get all for Xmas?
0,He'll bring me one if he sees a hot dog.
0,It mattered with a telescope.
1,I just know that the Big 12 South teams everyone knew would win actually won the game.
1,What I've always tended to do is to do my own stretches at home.
0,John is likely to appear that he will win the game.
0,"The red, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
1,They can run.
1,Linda winked her eye.
1,Tom offered advice to his students in his office.
1,John kicked him.
1,Bill pounded the metal fiat.
1,George wrote a volume of poems in Latin for Jane.
1,"They cooked, thickened the soup."
0,Paul yawned at Mary.
1,It's quarter past four.
1,It is likely that Patrick left.
1,Tomatoes were introduced in Europe after 1492.
1,John suddenly put the customers off.
1,"After Henry had touched a sword, Webster did it."
1,John talked to anybody who came up to him at the party.
1,The clever snake disappeared into a hole in the ground.
1,People are said to do such crazy things at such high speeds there by Dorothy that I am getting skeptical.
0,The hiker will reach the top of the mountain for an hour.
1,The Minister has arrived.
1,which city the claim that Philip would invade.
1,It is tough to teach syntax.
1,He has danced.
0,I'll give to my good friend from Akron some.
0,I brought John a razor to shave myself with.
0,There tried to be riots in Seoul.
1,Students studying English read Conrad's Heart of Darkness while at university.
0,Kim lives in the house Lee sold it to her.
1,The sea monster drowned the sailors.
0,Who did he expect who I was acquainted with to show up?
1,Tom drives like that man.
1,Elizabeth regretted that she had met Wickham.
1,I inquired if John likes his beer.
0,Pat handed to Chris.
0,"Who had Poseidon run away, before the executioner murdered?"
1,Susan doesn't eat her vegetables enough.
1,A violent demonstration took place in the main square.
1,They believe it to be easy to annoy Ben.
0,A solution immediately presented.
1,He treats John very.
1,I know how fast you ran.
1,Chris wants himself to win.
1,What Harriet did was marry Mr Martin.
1,I prefer this.
1,Jane and Elizabeth were both at home.
0,I inquired that John like his beer.
1,The two boys looked the word up.
0,Mary persuaded that he should rest Bill.
1,Squatters lodged in these abandoned buildings.
0,Chris will become talking to colleagues.
0,Mike quipped she never wore this hat.
0,The pig grunt
1,Sam gave the cloak to Lee and the magic chalice to Matthew.
1,I won't have any money.
1,"He told Peter that I know a taller man than John, but Peter didn't believe it."
1,Paul exhaled.
1,I consider John the best candidate.
0,"Mary's happy about her work, and John's about his children."
1,This bed was surely slept in by a huge guy last night.
0,This building got than that one.
0,John tried for Bill to play checkers.
1,"Two inspectors from the INS appeared, arrived, remained, emerged."
1,The car was driven by Alison.
1,The army's destruction of the palace was a tragedy.
1,"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy."
1,We would prefer John to be the candidate.
1,I saw all the students.
1,What causes students to select particular majors?
1,This oven cooks well.
0,Which quonset hut does the boy work in a skyscraper and the girl in?
0,Brown equipped a camera at Jones.
1,I gave Leah the box.
0,We yelled ourselves.
1,Steve swatted Jennifer.
1,Tom says that it's going to rain but I don't believe it.
1,This scratch will cost Kim $500 to fix.
0,Susan hopes her to sleep.
1,It was John and Bill that were waiting at the restaurant.
1,Water poured onto the plants.
1,Frank will eat an apple and Morgan will eat an apple too.
1,He saw the man with the stick.
0,The roof is leaked.
0,He's more reliable a man.
1,Cynthia munched on peaches.
1,Susan bought some flowers for her mother.
1,It happens to be true of every student in Mary's class that he is working on polarity items.
1,Any professional dancer would be able to do it.
1,"The more people you give beer to, the more people that get sick."
1,The witch turned him from a prince into a frog.
0,Every student who ever goes to Europe ever has enough money.
0,John is prouder of having gone than John expected nobody to believe he would be.
1,I consider Bill intelligent and I consider Sally not.
1,When did you get back and what did you bring me?
1,The children were uneducated.
1,I have wanted to meet the man who spent so much money planning the assassination of Kennedy for many years.
1,Someone attended every seminar.
0,Any of the citizens hardly ever say anything.
0,"I acknowledged that my father, he was tight as an owl."
1,They elected Graham chairman.
1,Helen wiped the wall.
1,A tall boy threw the ball.
1,You are a student.
1,Bill recited his lines slowly.
1,My nephew could write letters to his parents with a fountain pen.
0,The Gorgon is easy to believe the claim that Perseus slew.
1,Cassandra has warned Agamemnon again.
1,I admired him for his honesty.
0,Who is he reading a book that criticizes?
1,Calvin admired himself in the mirror.
1,liked ice cream.
1,That it was obvious that it would confuse the guards for Herschel to throw a fit is not true.
0,Who do you think that would be nominated for the position?
0,he belief that Mary kissed Bill is mistaken.
1,Joe is taller than Mary.
1,"I could find no solution, but Holly might."
1,Jack disappeared in a mysterious manner and the Hudson disappeared in a mysterious manner too.
1,John hit the wall with the stone.
1,The company sent China its senior mining engineers to help plan the new mines.
1,Jane is visiting Emma.
1,The CDs were given to the boys by John.
0,I went to the store to have bought some whisky.
1,John is ready to please.
1,Fred threw the ball behind the tree.
1,The children are seen in the yard.
1,Jessica loaded boxes into the wagon.
0,Mary's criticism him was cruel.
0,Mary managed John to go abroad.
1,The trail we walked today was built by slave labor.
1,Which books did Robin read and hate?
1,Fruit dropped from the tree.
1,The ball lies completely in the box.
0,Smith threw the first base the ball.
1,The yolk and the white separated.
1,The puppy licked the kitten's face.
1,The child wails
0,The monkeys seem want to leave the meeting.
0,He tries to put everyone who he doesn't like on.
1,He has often seen Mary.
1,I've never seen a man taller than my mother.
1,Lucy's photograph of Jane
1,I shipped the package halfway to the Antarctic.
1,I believed there to be three books on the subject.
1,The mouse nibbled on the cheese.
1,This building is taller and wider than that one.
1,The chef eats beans and serves salads with forks.
1,Did Sue not pass her exam?
1,I showed every boy a planet.
1,Eleanor blamed Willoughby for Marianne's unhappiness.
0,I wanted he should leave.
1,"After Henry had done it, Webster touched a sword."
1,What did Becky buy?
1,The judge saddled the winner with a prize.
0,Is likely Jean to leave.
1,Gilgamesh will seek Ishtar
1,Wanda taught the students that the earth was round.
0,Jessica loaded boxes at the truck.
1,Every student who handed in any homework will get a prize.
1,The gardener watered the flowers flat.
0,many equipment is available.
1,I broke twigs off of those branches.
0,The picture of Bill she slept.
1,Brian hit the fence with the stick.
1,John gave the books to Mary and the records to Sue.
0,I handed to Reg.
1,John left very early.
0,They caused him to become president by making him.
1,The police kept tabs on the suspect.
0,Carmen obtained Mary a spare part.
1,Steve tossed the ball from the tree to the gate.
1,Felicia kicked the ball out the window.
1,The climbers were killed with the intense cold.
1,Alice typed the letter.
1,Harriet interconnected the pieces.
1,The sinking of the ship was very devious.
1,"There arrived a tall, red haired and incredibly well dressed man."
0,Ten pounds was weighed by the package.
1,The man who I gave John a picture of was bald.
1,Some sentences can go on.
1,Carol cut herself on the thumb.
1,That's the kindest answer that I ever heard.
1,Pat promised Leslie to be aggressive.
0,Traci gave the whale.
1,Tom offered advice to his students with love.
1,People were playing on the beach.
1,He's so tall a man that doors are dangerous to him.
1,The situation became terrible.
1,"The more pictures of himself that appear in the news, the more embarrassed John becomes."
1,Will George indeed not endorse the treaty?
1,We peered around the room.
1,Wash yourself.
0,The hardest that I ever knew a man who said that it had snowed was last January 12th.
1,Doing syntax is not easy.
0,The man chased Fido returned.
0,He kicked yourself
1,The soup had been being eaten when it got spilled.
1,Every student in Mary's class is working on negative polarity.
0,Larry hunted the foxes all.
0,The fact that no candidate was elected shows that he was inadequate.
1,Tom will force you to marry no student.
1,Where did you put the book?
1,"Suddenly, there appeared two ships on the horizon."
0,I lifted onto the table.
1,Michelle kept the papers behind the desk.
1,"I wrote a letter to Blair, but I tore it up before I sent it."
0,I know a man who John is as tall as is.
1,Gilgamesh fears death and Achilles does as well
1,I noticed John's excessive appreciation of himself.
1,She writes clearly enough.
1,The strong winds slowly cleared the clouds from the sky.
1,Which textbook did the teacher use in the class last summer?
1,Jane stood aside to let her pass.
1,Everybody who is in Mary's semantics seminar is writing a paper on polarity items.
1,Who ate what?
0,Brenda chatted Molly.
1,"I'd planned to have finished, and finished I have"
1,The man that chased Fido returned.
0,Mary considered to have loved her.
1,Which book are you reading?
0,Here's a knife which for you to cut up the onions with.
1,The garden is certain to be planted with roses by the gardener.
1,John tried to sleep.
1,John knows that she left and whether she will come back.
0,Steve tossed at the ball.
1,Tom drives as that man does.
0,The man a ball kicked.
1,We were thankful that no one had been hurt.
1,Anson believed the report.
1,That meeting I'd like to sit in on.
0,I wonder what who bought?
1,Janet broke Bill's finger.
0,The socks are ready for it to be planned for you to put on.
1,We expect them to examine themselves.
0,Did that John showed up please you?
1,I want for nobody to hate me.
1,On Wednesday Maisie drove her car from Morningside to Leith.
1,How are you feeling?
1,The children will have been being entertained.
1,Heather cabled Sara the news.
1,She always wore purple dresses.
1,Pat handed a book to Chris.
1,I've never seen a man taller than my father.
0,That monkeys is eating the banana.
1,Who DID put the book in the box?
0,Shannon kissed quietly the kitten.
1,Peter said that Danny danced.
0,"When Bill smokes, all the more Susan hates him."
0,I funneled the mixture from Edna to Rina.
0,The children eat all chocolate.
1,Susan whispered.
1,Herman hammered the metal flat.
0,It is Kim whom Sandy relies.
1,Water filled the cup high.
1,Audrey tiptoed to the door.
1,"Love her though I may, that won't affect the grade."
0,That the sun is out was obvious.
1,I bled him.
1,Bill disappeared down the road.
1,What Medea attempted was to poison her children.
0,"It's we go to the meeting, that Sally will tell us when."
0,The toast buttered.
1,They denied the claim that we had advanced by ourselves.
0,Rose accompanied.
1,The course is jumping well.
1,Jewels sparkled on the crown.
1,My bother's friend learned dancing.
1,"Poseidon had escaped, before the executioner arrived."
1,I expect John to win and Harry to lose.
1,She could not have been working.
1,Louis begged Kate to leave.
1,Who loves whom?
0,Gilgamesh never has flown a dragon.
1,I gave the package to Maria.
0,Runs Mary the marathon?
1,"Joe will go to the store, even though Fred already has."
1,Josh gave Clay a book carefully.
1,The bird devours the worm.
1,"It is important for you to be more careful, the more you eat."
1,That joke never fails to amuse.
0,I ate apple.
0,Dorothy needs the skills in her.
1,Was he believed ever to fail students?
1,"The higher the stakes are, the lower his expectations are."
1,Ron yawned himself awake.
1,The man standing over there's hat impressed me greatly.
0,I have gone and buys some whiskey.
1,They skated the canals.
1,"With their teacher, the kids have arrived safely, haven't they?"
1,The metal was hammered flat.
1,"John, to who and to whose friends that letter was addressed, is a fool."
1,"Tom wanted to go home, but Peter didn't want to."
1,Heidi hit herself on the head with a zucchini.
0,"Those people will, after the party, not come home."
1,The teacher who it was expected by the reporters that the principal would fire is a crusty old jerk.
0,What kind cf parakeets are they investigating all people owning?
1,"Joe's neuroses bother his patrons, and Sally's neuroses do too."
0,The cup filled the water high.
1,The cat had eaten.
0,The package carried to New York.
1,Bill left when everyone will believe that the police have forced me to confess that I shot Sandra.
0,Lecturer was sitting at her desk.
0,"I'll turn the radio down, but I won't up."
1,Every boy named a planet.
1,Felicia threw the ball out the window.
1,Who showed what to who?
1,The puppy loved peanut butter cookies.
1,Cynthia ate.
1,Mary considered John to have loved her.
0,Two miles are as far as they can walk.
0,They kicked himself
0,I read some book.
1,The cat chased the long string.
0,Gomez's photograph of Pugsley of Lucy's
0,Nora sent at the book to Peter.
0,Julius Caesar murdered.
1,The man is dancing.
1,The president could not approve the bill.
0,The box gradually contained the ball.
1,She asked a man who was near the window whether it looked like rain.
0,Can he will do it?
1,The chicken was eaten.
1,Tabs were kept on all persons entering the station.
1,Each child should have a daily glass of milk.
1,Sam got free by cutting his finger.
0,Bill not destroyed the world.
1,He gave me many marbles.
1,The horse jumped over the fence.
1,Fanny pulled the blanket over her.
0,No reading Shakespeare satisfied me
1,Jake kicked the ball halfway to Bill.
1,Brenda and Molly chatted.
1,The Shah slept in a bed.
1,I sent a book to Louis.
0,Jason thinks who Medea had poisoned.
1,She would never believe that story.
1,We believed Aphrodite to be omnipotent.
1,The clothes dried.
1,They believe Charles Darwin's theory of evolution is just a scientific theory.
1,Mary always prefers lemons to limes.
0,I don't know if to agree with him.
0,"Will put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
0,Tessa sprained Mary 's ankle.
1,How is someone to chat to a girl if she does not go out?
1,Calvin has a peanut.
0,"The most you want, the least you eat."
1,Students who fail the final exam will be executed or students who do not do the reading will be executed.
1,There still remains an issue to be solved.
1,"In general, he understands what's going on."
1,People now drink less beer.
1,Bill's reading of Shakespeare satisfied me
1,Chris was handed a note.
1,People like lard.
1,Two or three books take a very long time to read.
1,Who did he expect to show up who I was acquainted with?
0,Kim beating his dog and alienates cats.
1,"The more people arrive, the louder that it gets."
0,Tagalog is speaks in the Philippines.
1,The witch turned him into a frog.
1,"Lilly decided that eating cabbage, she should be."
1,"While Truman doesn't want to visit every city, he does Barcelona."
1,Physicists like yourself are a godsend.
0,The magician appeared a dove from his sleeve.
1,Fred had a snake behind the car Joe was sitting in.
1,I just saw that girl who Long John's claim that he was a Martian made all the headlines.
1,Pat is a Republican and proud of it.
1,You may pick any five flowers.
0,The Joneses think himself the most wealthy guy on the block.
1,I screamed at some children watching me.
1,I expect to more than double my profits.
0,"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of."
1,is out since the following is finite.
1,The next morning we set out for Seoul.
1,The jeweller printed the name over the door.
0,Jill offered the ball towards Bob.
0,We talked about that our perspectives had changed over the years and the issues we had worked on as students.
1,I asked Anson if he was happy
1,The ball rolled into the gutter.
1,A wonderful opportunity presented itself yesterday.
1,I am not certain about when he will come.
1,The recession cost my grandfather a raise.
1,"I'm as much of a man as you are, my dear."
1,Because of the strike the commuters travelled by army lorry.
1,The boy gave the baby the book.
1,The amoeba coughed and then it fainted.
1,The boy whose loud playing of the piano I disliked was a student.
1,Webster touched a sword after Henry had done it.
1,It is likely that Tami will leave New York.
1,I wonder if he eats asparagus.
0,Baseballs toss easily.
1,Ellen talked with Helen about the problem.
1,This is the friend for whose mother Kim gave a party.
1,"The more people that arrive, the louder that it gets."
1,Over the fort fluttered a large flag.
0,French fabrics adore easily.
1,"To improve himself, Bruce should consider therapy."
1,Which student's grades went unreported?
1,John suddenly put off the customers.
0,Aphrodite quickly may free the animals
1,The inspector analyzed the building for its soundness.
0,Jill offered the ball at Bob.
1,John inquired which book he should read.
0,"The more contented for us to pretend to be became possible, the more angry we grew at the doctors."
1,"Two days ago, we went out to dinner, and this afternoon, to the movies."
0,Who does Phineas know a girl who is jealous of?.
1,The room reeked.
1,Calvin has dated every girl who Jeff has dated.
0,Whiskey do I drink.
1,The drooling dog kissed the big boy.
0,I know the truth and that you are innocent.
1,I read a book during the vacation which was written by Chomsky.
0,Henry wanted to possibly marry Fanny.
1,Who did John send a book to?
0,The witch went into the forest by vanishing.
1,"John is more embarrassed, the more pictures of him appear in the news."
1,The child never became crazy.
1,We abandoned the area.
1,Monica covered the baby with a blanket.
1,The little boy broke the window.
0,The building is tall and tall.
0,"Because in came Aunt Norris, Fanny stopped talking."
1,It's the second Monday that we get back from Easter.
0,I have Tom's feeling that the company will squander the money.
0,This objection is main.
1,I enjoy taking a bath.
1,Some of the diners need menus.
1,Bill dried the clothes.
1,The car has been being driven.
0,Yesterday John talked to any woman.
1,Jessica sprayed paint over the table.
1,Who has seen my snorkel?
1,Jason was killed.
1,"We didn't particularly like, but nevertheless ate, the fish raw."
1,The man on whose lap the puppet is sitting is ventriloquist.
0,It is to be gentle that John promised.
1,Spot did not play with his mouse.
1,Around midnight I promised that he would be there.
1,Mary considers John a fool and Bill a wimp.
0,John has taken to the library.
1,Any woman who heard the news contributed to the fund.
0,The snake clever disappeared into a hole in the ground.
1,Don't hit yourself!
1,"He coughed awake and we were all overjoyed, especially Sierra."
1,Leigh swaddled the baby with blankets.
1,"Maxine read the children Goodnight Moon, but they fell asleep before she got to the end."
1,I wonder has Mary worked for Microsoft.
1,John is no more reliable a fellow than Bill.
0,She has enough problem as it is.
1,John fears dogs.
0,Peter is some disgruntled old pigs in those ditches.
1,"The tall, kind, handsome man kicked the ball."
1,The cat sauntered into the kitchen carrying a dead mouse.
0,What she considers is John proud of his work.
1,Brian wiped the fingerprints from under the cupboard.
1,President Lincoln delivered his Gettysburg Address in 1863.
1,Mary considers John proud of himself.
1,How clever you are!
1,"The contestant who won the first prize, who is the judge's brother-in-law, sang dreadfully."
0,They eager to leave the meeting.
1,The cat ate the spider.
1,I believe it to be her father who was primarily responsible.
0,How did Sheila marry tall a man?
1,Heather cabled Sara about the situation.
1,He always eats deep fried muffins.
1,The bed on which Tom slept was hard.
1,The gardener planted roses in the garden.
0,I funneled the mixture.
1,This is the book which I need to read.
0,Steve pelted acorns at Anna.
1,Michelle kept the papers under the desk.
1,Every man lifted the table.
1,The readings of Shakespeare satisfied me
1,I lifted the book onto the out of the box.
0,the student that's turn it was left.
1,Doug cleared the dishes from under the rack.
1,How often did he ask when she will meet at the party?
1,John and Mary met in Vienna.
0,Heidi investigated that John ate the cauliflower.
0,That John coughs loves Bill.
1,It struck John that it was so.
